"month"	"hits"	"regex"	"usergroup"
"201011"	1231	"sockpuppet"	"registered"
"201012"	912	"sockpuppet"	"registered"
"201101"	881	"sockpuppet"	"registered"
"201102"	934	"sockpuppet"	"registered"
"201103"	1112	"sockpuppet"	"registered"
"201104"	1085	"sockpuppet"	"registered"
"201105"	982	"sockpuppet"	"registered"
"201106"	1231	"sockpuppet"	"registered"
"201107"	975	"sockpuppet"	"registered"
"201108"	1061	"sockpuppet"	"registered"
"201109"	955	"sockpuppet"	"registered"
"201110"	1044	"sockpuppet"	"registered"
"201111"	981	"sockpuppet"	"registered"
"201112"	900	"sockpuppet"	"registered"
"201201"	835	"sockpuppet"	"registered"
"201202"	1004	"sockpuppet"	"registered"
"201203"	901	"sockpuppet"	"registered"
"201204"	1012	"sockpuppet"	"registered"
"201205"	838	"sockpuppet"	"registered"
"201206"	833	"sockpuppet"	"registered"
"201207"	863	"sockpuppet"	"registered"
"201208"	811	"sockpuppet"	"registered"
"201209"	911	"sockpuppet"	"registered"
"201210"	883	"sockpuppet"	"registered"
"201211"	749	"sockpuppet"	"registered"
"201212"	941	"sockpuppet"	"registered"
"201301"	1087	"sockpuppet"	"registered"
"201302"	1152	"sockpuppet"	"registered"
"201303"	898	"sockpuppet"	"registered"
"201304"	1236	"sockpuppet"	"registered"
"201305"	1044	"sockpuppet"	"registered"
"201306"	1023	"sockpuppet"	"registered"
"201307"	1152	"sockpuppet"	"registered"
"201308"	804	"sockpuppet"	"registered"
"201309"	691	"sockpuppet"	"registered"
"201310"	738	"sockpuppet"	"registered"
"201311"	693	"sockpuppet"	"registered"
"201312"	642	"sockpuppet"	"registered"
"201401"	676	"sockpuppet"	"registered"
"200601"	544	"username"	"registered"
"200602"	591	"username"	"registered"
"200603"	969	"username"	"registered"
"200604"	1013	"username"	"registered"
"200605"	849	"username"	"registered"
"200606"	958	"username"	"registered"
"200607"	1004	"username"	"registered"
"200608"	1618	"username"	"registered"
"200609"	1890	"username"	"registered"
"200610"	1719	"username"	"registered"
"200611"	2050	"username"	"registered"
"200612"	1336	"username"	"registered"
"200701"	1423	"username"	"registered"
"200702"	1930	"username"	"registered"
"200703"	1819	"username"	"registered"
"200704"	1424	"username"	"registered"
"200705"	1408	"username"	"registered"
"200706"	1174	"username"	"registered"
"200707"	1273	"username"	"registered"
"200708"	1058	"username"	"registered"
"200709"	1023	"username"	"registered"
"200710"	1189	"username"	"registered"
"200711"	1383	"username"	"registered"
"200712"	1232	"username"	"registered"
"200801"	1552	"username"	"registered"
"200802"	1728	"username"	"registered"
"200803"	2021	"username"	"registered"
"200804"	1443	"username"	"registered"
"200805"	1358	"username"	"registered"
"200806"	902	"username"	"registered"
"200807"	826	"username"	"registered"
"200808"	770	"username"	"registered"
"200809"	880	"username"	"registered"
"200810"	1063	"username"	"registered"
"200811"	834	"username"	"registered"
"200812"	649	"username"	"registered"
"200901"	796	"username"	"registered"
"200902"	817	"username"	"registered"
"200903"	858	"username"	"registered"
"200904"	877	"username"	"registered"
"200905"	1026	"username"	"registered"
"200906"	1126	"username"	"registered"
"200907"	1564	"username"	"registered"
"200908"	1125	"username"	"registered"
"200909"	1028	"username"	"registered"
"200910"	1105	"username"	"registered"
"200911"	801	"username"	"registered"
"200912"	864	"username"	"registered"
"201001"	1108	"username"	"registered"
"201002"	1036	"username"	"registered"
"201003"	1008	"username"	"registered"
"201004"	872	"username"	"registered"
"201005"	920	"username"	"registered"
"201006"	875	"username"	"registered"
"201007"	1000	"username"	"registered"
"201008"	1062	"username"	"registered"
"201009"	2267	"username"	"registered"
"201010"	1534	"username"	"registered"
"201011"	883	"username"	"registered"
"201012"	845	"username"	"registered"
"201101"	1224	"username"	"registered"
"201102"	896	"username"	"registered"
"201103"	1173	"username"	"registered"
"201104"	1006	"username"	"registered"
"201105"	968	"username"	"registered"
"201106"	902	"username"	"registered"
"201107"	1091	"username"	"registered"
"201108"	1195	"username"	"registered"
"201109"	1180	"username"	"registered"
"201110"	735	"username"	"registered"
"201111"	622	"username"	"registered"
"201112"	768	"username"	"registered"
"201201"	965	"username"	"registered"
"201202"	1018	"username"	"registered"
"201203"	703	"username"	"registered"
"201204"	656	"username"	"registered"
"201205"	728	"username"	"registered"
"201206"	766	"username"	"registered"
"201207"	451	"username"	"registered"
"201208"	588	"username"	"registered"
"201209"	558	"username"	"registered"
"201210"	764	"username"	"registered"
"201211"	943	"username"	"registered"
"201212"	890	"username"	"registered"
"201301"	880	"username"	"registered"
"201302"	758	"username"	"registered"
"201303"	828	"username"	"registered"
"201304"	786	"username"	"registered"
"201305"	866	"username"	"registered"
"201306"	841	"username"	"registered"
"201307"	737	"username"	"registered"
"201308"	763	"username"	"registered"
"201309"	800	"username"	"registered"
"201310"	742	"username"	"registered"
"201311"	550	"username"	"registered"
"201312"	756	"username"	"registered"
"201401"	872	"username"	"registered"
"200602"	1	"proxy"	"registered"
"200603"	3	"proxy"	"registered"
"200604"	5	"proxy"	"registered"
"200605"	1	"proxy"	"registered"
