"month"	"hits"	"regex"	"usergroup"
"200807"	1586	"sockpuppet"	"anonymous"
"200808"	1185	"sockpuppet"	"anonymous"
"200809"	1419	"sockpuppet"	"anonymous"
"200810"	1079	"sockpuppet"	"anonymous"
"200811"	824	"sockpuppet"	"anonymous"
"200812"	876	"sockpuppet"	"anonymous"
"200901"	1257	"sockpuppet"	"anonymous"
"200902"	2286	"sockpuppet"	"anonymous"
"200903"	1394	"sockpuppet"	"anonymous"
"200904"	1254	"sockpuppet"	"anonymous"
"200905"	877	"sockpuppet"	"anonymous"
"200906"	913	"sockpuppet"	"anonymous"
"200907"	973	"sockpuppet"	"anonymous"
"200908"	747	"sockpuppet"	"anonymous"
"200909"	689	"sockpuppet"	"anonymous"
"200910"	879	"sockpuppet"	"anonymous"
"200911"	735	"sockpuppet"	"anonymous"
"200912"	794	"sockpuppet"	"anonymous"
"201001"	711	"sockpuppet"	"anonymous"
"201002"	824	"sockpuppet"	"anonymous"
"201003"	944	"sockpuppet"	"anonymous"
"201004"	915	"sockpuppet"	"anonymous"
"201005"	888	"sockpuppet"	"anonymous"
"201006"	788	"sockpuppet"	"anonymous"
"201007"	814	"sockpuppet"	"anonymous"
"201008"	803	"sockpuppet"	"anonymous"
"201009"	843	"sockpuppet"	"anonymous"
"201010"	1005	"sockpuppet"	"anonymous"
"201011"	1043	"sockpuppet"	"anonymous"
"201012"	809	"sockpuppet"	"anonymous"
"201101"	883	"sockpuppet"	"anonymous"
"201102"	735	"sockpuppet"	"anonymous"
"201103"	886	"sockpuppet"	"anonymous"
"201104"	949	"sockpuppet"	"anonymous"
"201105"	923	"sockpuppet"	"anonymous"
"201106"	898	"sockpuppet"	"anonymous"
"201107"	831	"sockpuppet"	"anonymous"
"201108"	805	"sockpuppet"	"anonymous"
"201109"	877	"sockpuppet"	"anonymous"
"201110"	787	"sockpuppet"	"anonymous"
"201111"	733	"sockpuppet"	"anonymous"
"201112"	642	"sockpuppet"	"anonymous"
"201201"	684	"sockpuppet"	"anonymous"
"201202"	783	"sockpuppet"	"anonymous"
"201203"	623	"sockpuppet"	"anonymous"
"201204"	719	"sockpuppet"	"anonymous"
"201205"	748	"sockpuppet"	"anonymous"
"201206"	860	"sockpuppet"	"anonymous"
"201207"	812	"sockpuppet"	"anonymous"
"201208"	658	"sockpuppet"	"anonymous"
"201209"	669	"sockpuppet"	"anonymous"
"201210"	605	"sockpuppet"	"anonymous"
"201211"	629	"sockpuppet"	"anonymous"
"201212"	631	"sockpuppet"	"anonymous"
"201301"	734	"sockpuppet"	"anonymous"
"201302"	731	"sockpuppet"	"anonymous"
"201303"	786	"sockpuppet"	"anonymous"
"201304"	746	"sockpuppet"	"anonymous"
"201305"	856	"sockpuppet"	"anonymous"
"201306"	778	"sockpuppet"	"anonymous"
"201307"	758	"sockpuppet"	"anonymous"
"201308"	719	"sockpuppet"	"anonymous"
"201309"	647	"sockpuppet"	"anonymous"
"201310"	543	"sockpuppet"	"anonymous"
"201311"	624	"sockpuppet"	"anonymous"
"201312"	702	"sockpuppet"	"anonymous"
"201401"	543	"sockpuppet"	"anonymous"
"200601"	472	"username"	"anonymous"
"200602"	577	"username"	"anonymous"
"200603"	674	"username"	"anonymous"
"200604"	630	"username"	"anonymous"
"200605"	645	"username"	"anonymous"
"200606"	865	"username"	"anonymous"
"200607"	1100	"username"	"anonymous"
"200608"	1685	"username"	"anonymous"
"200609"	1482	"username"	"anonymous"
"200610"	1325	"username"	"anonymous"
"200611"	1116	"username"	"anonymous"
"200612"	723	"username"	"anonymous"
"200701"	660	"username"	"anonymous"
"200702"	972	"username"	"anonymous"
"200703"	977	"username"	"anonymous"
"200704"	591	"username"	"anonymous"
"200705"	573	"username"	"anonymous"
"200706"	512	"username"	"anonymous"
"200707"	615	"username"	"anonymous"
"200708"	548	"username"	"anonymous"
"200709"	550	"username"	"anonymous"
"200710"	583	"username"	"anonymous"
"200711"	611	"username"	"anonymous"
"200712"	516	"username"	"anonymous"
"200801"	514	"username"	"anonymous"
"200802"	610	"username"	"anonymous"
"200803"	655	"username"	"anonymous"
"200804"	475	"username"	"anonymous"
"200805"	443	"username"	"anonymous"
"200806"	332	"username"	"anonymous"
"200807"	329	"username"	"anonymous"
"200808"	296	"username"	"anonymous"
"200809"	306	"username"	"anonymous"
"200810"	353	"username"	"anonymous"
"200811"	273	"username"	"anonymous"
"200812"	224	"username"	"anonymous"
"200901"	302	"username"	"anonymous"
"200902"	283	"username"	"anonymous"
"200903"	348	"username"	"anonymous"
"200904"	385	"username"	"anonymous"
"200905"	303	"username"	"anonymous"
"200906"	426	"username"	"anonymous"
"200907"	467	"username"	"anonymous"
"200908"	368	"username"	"anonymous"
"200909"	294	"username"	"anonymous"
"200910"	340	"username"	"anonymous"
"200911"	302	"username"	"anonymous"
"200912"	244	"username"	"anonymous"
"201001"	366	"username"	"anonymous"
"201002"	344	"username"	"anonymous"
"201003"	333	"username"	"anonymous"
"201004"	245	"username"	"anonymous"
